item                 ,context                         ,en                               ,fr                                  ,ru                                         ,de                                      
datetime             ,heading value for type          ,Datetime                         ,Horodatage                          ,Datetime                                   ,                                        
freq                 ,column name (freq)              ,Freq                             ,Fréq.                               ,Част.                                      ,                                        
pct.valid            ,column name (freq)              ,% Valid                          ,% Valide                            ,% корр.                                    ,                                        
pct.valid.cum        ,column name (freq)              ,% Valid Cum.                     ,% Valide cum.                       ,% корр. сумм.                              ,                                        
pct.total            ,column name (freq)              ,% Total                          ,% Total                             ,% суммы                                    ,                                        
pct.total.cum        ,column name (freq)              ,% Total Cum.                     ,% Total cum.                        ,%                                          ,                                        
pct.cum              ,column name (freq)              ,% Cum.                           ,% Cum.                              ,%                                          ,                                        
valid                ,column name (freq & dfSummary)  ,Valid                            ,Valide                              ,                                           ,                                        
total                ,column grouping (freq)          ,Total                            ,Total                               ,сумма                                      ,                                        
mean                 ,row name (descr)                ,Mean                             ,Moy                                 ,                                           ,                                        
sd                   ,row name (descr)                ,Std.Dev                          ,É-t                                 ,                                           ,                                        
min                  ,row name (descr)                ,Min                              ,Min                                 ,                                           ,                                        
q1                   ,row name (descr)                ,Q1                               ,Q1                                  ,                                           ,                                        
med                  ,row name (descr)                ,Median                           ,Médiane                             ,                                           ,                                        
q3                   ,row name (descr)                ,Q3                               ,Q3                                  ,                                           ,                                        
max                  ,row name (descr)                ,Max                              ,Max                                 ,                                           ,                                        
mad                  ,row name (descr)                ,MAD                              ,ÉMA                                 ,                                           ,                                        
iqr                  ,row name (descr)                ,IQR                              ,ÉIQ                                 ,                                           ,                                        
cv                   ,row name (descr)                ,CV                               ,CV                                  ,                                           ,                                        
skewness             ,row name (descr)                ,Skewness                         ,Asymétrie                           ,                                           ,                                        
se.skewness          ,row name (descr)                ,SE.Skewness                      ,ET-Asymétrie                        ,                                           ,                                        
kurtosis             ,row name (descr)                ,Kurtosis                         ,Aplatissement                       ,                                           ,                                        
n.valid              ,row name (descr)                ,N.Valid                          ,Nb.Valide                           ,                                           ,                                        
pct.valid            ,row name (descr)                ,Pct.Valid                        ,Pct.Valide                          ,                                           ,                                        
no                   ,column name (dfSummary)         ,No                               ,No                                  ,                                           ,                                        
stats.values         ,column name (dfSummary)         ,Stats / Values                   ,Stats / valeurs                     ,                                           ,                                        
freqs.pct.valid      ,column name (dfSummary)         ,Freqs (% of Valid)               ,Fréq. (% de valide)                 ,                                           ,                                        
graph                ,column name (dfSummary)         ,Graph                            ,Diagramme                           ,                                           ,                                        
text.graph           ,column name (dfSummary)         ,Text Graph                       ,Diagramme texte                     ,                                           ,                                        
missing              ,column name (dfSummary)         ,Missing                          ,Manquant                            ,                                           ,                                        
distinct.values      ,cell content (dfSummary)        ,distinct values                  ,valeurs uniques                     ,                                           ,                                        
int.sequence         ,cell content (dfSummary)        ,Integer sequence                 ,Séquence d'entiers                  ,                                           ,                                        
rounded              ,cell content (dfSummary)        ,rounded                          ,arrond.                             ,                                           ,                                        
others               ,cell content (dfSummary)        ,others                           ,autres                              ,                                           ,                                        
code                 ,cell content (dfSummary)        ,code                             ,(codes)                             ,                                           ,                                        
mode                 ,cell content (dfSummary)        ,mode                             ,mode                                ,                                           ,                                        
med.short            ,cell content (dfSummary)        ,med                              ,med                                 ,                                           ,                                        
start                ,cell content (dfSummary)        ,Start                            ,Début                               ,                                           ,                                        
end                  ,cell content (dfSummary)        ,End                              ,Fin                                 ,                                           ,                                        
generated.by         ,footnote                        ,Generated by                     ,Généré par                          ,                                           ,                                        
version              ,footnote                        ,version                          ,version                             ,                                           ,                                        
date.fmt             ,footnote                        ,%Y-%m-%d                         ,%Y-%m-%d                            ,                                           ,                                        
